Part Name, Description, Link, Total Price ($)
CL05B104KO5NNNC,100nF 0402 Ceramic Capacitors,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525, 0.216
CL05A475MP5NRNC,10V 0402 Ceramic Capacitors,https://jlcpcb.com/partdetail/24469-CL05A475MP5NRNC/C23733, 0.207
CL05C100JB5NNNC,10pF 0402 Ceramic Capacitors,https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949, 0.053
CL05A105KA5NQNC,1uF 0402 Ceramic Capacitors,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923, 0.318
CL05A225MQ5NSNC,2.2uF 0402 Ceramic Capacitors,https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530, 0.032
S2B-PH-SM4-TB(LF)(SN),PH JST Connector 2mm,https://jlcpcb.com/partdetail/JST-S2B_PH_SM4_TB_LF_SN/C295747, 1.0675
1N5819WS,Schottky Diodes,https://jlcpcb.com/partdetail/GuangdongHottech-1N5819WS/C191023, 3.876
05A20L14P,FPC Connector,https://jlcpcb.com/partdetail/HanElectricity-05A20L14P/C22435642, 0.351
TYPE-C-31-M-12,USB-C Connectors,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948, 0.9215
YLED0603Y,Yellow 0603 LED,https://jlcpcb.com/partdetail/YONGYUTAI-YLED0603Y/C19273152, 0.13
0402WGF1002TCE,10k ohm 0402 Resistor,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744, 0.0575
0402WGF5101TCE,5.1k ohm 0402 Resistor,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905, 0.067
0402WGF5100TCE,510 ohm 0402 Resistor,https://jlcpcb.com/partdetail/25866-0402WGF5100TCE/C25123, 0.0305
0402WGF1001TCE,1k ohm 0402 Resistor,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702, 0.098
0402WGF100JTCE,10 ohm 0402 Resistor,https://jlcpcb.com/partdetail/25820-0402WGF100JTCE/C25077, 0.0855
TS-1187A-B-A-B,Tactile Switches,https://jlcpcb.com/partdetail/XKBConnection-TS_1187A_B_AB/C318884, 4.553
MST-12D18G4 SPDT Slide Switch,Slide Switches,https://jlcpcb.com/partdetail/C49023767, 0.4135
MAX17048G+T10,Battery Sense IC MAX17048GT10,https://jlcpcb.com/partdetail/2777647-MAX17048GT10/C2682616, 10.803
BQ24040DSQR,Lithium Battery Charge IC BQ24040DSQR,https://jlcpcb.com/partdetail/TexasInstruments-BQ24040DSQR/C81080, 2.219
TLV76133DCYR,3.3V Fixed Voltage Regulators - Linear,https://jlcpcb.com/partdetail/TexasInstruments-TLV76133DCYR/C7527500, 1.095
STM32F411RET6,Microcontroller,https://jlcpcb.com/partdetail/STMicroelectronics-STM32F411RET6/C94355, 17.822
X322516MLB4SI,16MHz 9pF Crystal Oscillator,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322516MLB4SI/C13738, 0.464
